"","group","nurture_ethnicity","n"
"1","INS - Steroids NOT Tried","Asian or Asian British - Indian",2
"2","INS - Steroids NOT Tried","Asian or Asian British - Pakistani",3
"3","INS - Steroids NOT Tried","Black African",3
"4","INS - Steroids NOT Tried","Black Caribbean",2
"5","INS - Steroids NOT Tried","Other Asian Background",2
"6","INS - Steroids NOT Tried","Other Ethnic Background",1
"7","INS - Steroids NOT Tried","Other Mixed Background",1
"8","INS - Steroids NOT Tried","Other White Background",2
"9","INS - Steroids NOT Tried","White - British",42
"10","Partial Steroid Resistance","Asian or Asian British - Pakistani",2
"11","Partial Steroid Resistance","Black African",2
"12","Partial Steroid Resistance","Black Caribbean",1
"13","Partial Steroid Resistance","Chinese",1
"14","Partial Steroid Resistance","Other Ethnic Background",1
"15","Partial Steroid Resistance","White - British",17
"16","Primary Steroid Resistance","Asian or Asian British - Bangladeshi",1
"17","Primary Steroid Resistance","Asian or Asian British - Indian",4
"18","Primary Steroid Resistance","Asian or Asian British - Pakistani",1
"19","Primary Steroid Resistance","Black Caribbean",1
"20","Primary Steroid Resistance","Mixed - White and Black Caribbean",1
"21","Primary Steroid Resistance","Other Asian Background",1
"22","Primary Steroid Resistance","Other Black Background",1
"23","Primary Steroid Resistance","Other Ethnic Background",1
"24","Primary Steroid Resistance","Other White Background",1
"25","Primary Steroid Resistance","White - British",36
"26","SSNS","Asian or Asian British - Bangladeshi",2
"27","SSNS","Asian or Asian British - Indian",11
"28","SSNS","Asian or Asian British - Pakistani",11
"29","SSNS","Black African",10
"30","SSNS","Black Caribbean",8
"31","SSNS","Chinese",4
"32","SSNS","Mixed - White and Black Caribbean",3
"33","SSNS","Other Asian Background",9
"34","SSNS","Other Black Background",1
"35","SSNS","Other Ethnic Background",3
"36","SSNS","Other Mixed Background",2
"37","SSNS","Other White Background",3
"38","SSNS","White - British",179
"39","SSNS","White - Irish",1
"40","Secondary Steroid Resistance","Asian or Asian British - Pakistani",2
"41","Secondary Steroid Resistance","Black Caribbean",1
"42","Secondary Steroid Resistance","Other Asian Background",1
"43","Secondary Steroid Resistance","White - British",7
