"","subgroup","nurture_ethnicity","n"
"1","CFD","Asian or Asian British - Pakistani",2
"2","CFD","Black Caribbean",1
"3","CFD","Other Asian Background",1
"4","CFD","White - British",13
"5","INS - Steroids NOT Tried","Asian or Asian British - Indian",2
"6","INS - Steroids NOT Tried","Asian or Asian British - Pakistani",3
"7","INS - Steroids NOT Tried","Black African",2
"8","INS - Steroids NOT Tried","Black Caribbean",2
"9","INS - Steroids NOT Tried","Other Asian Background",2
"10","INS - Steroids NOT Tried","Other Ethnic Background",1
"11","INS - Steroids NOT Tried","Other Mixed Background",1
"12","INS - Steroids NOT Tried","Other White Background",2
"13","INS - Steroids NOT Tried","White - British",37
"14","Partial SR","Asian or Asian British - Pakistani",2
"15","Partial SR","Black African",2
"16","Partial SR","Black Caribbean",1
"17","Partial SR","Chinese",1
"18","Partial SR","Other Ethnic Background",1
"19","Partial SR","White - British",15
"20","Primary Steroid Resistance","Asian or Asian British - Bangladeshi",1
"21","Primary Steroid Resistance","Asian or Asian British - Indian",3
"22","Primary Steroid Resistance","Asian or Asian British - Pakistani",1
"23","Primary Steroid Resistance","Black Caribbean",1
"24","Primary Steroid Resistance","Mixed - White and Black Caribbean",1
"25","Primary Steroid Resistance","Other Black Background",1
"26","Primary Steroid Resistance","Other Ethnic Background",1
"27","Primary Steroid Resistance","Other White Background",1
"28","Primary Steroid Resistance","White - British",20
"29","SRNS genetic","Asian or Asian British - Indian",1
"30","SRNS genetic","Black African",1
"31","SRNS genetic","Other Asian Background",1
"32","SRNS genetic","White - British",9
"33","SRNS non-genetic","White - British",10
"34","SSNS","Asian or Asian British - Bangladeshi",2
"35","SSNS","Asian or Asian British - Indian",11
"36","SSNS","Asian or Asian British - Pakistani",11
"37","SSNS","Black African",10
"38","SSNS","Black Caribbean",8
"39","SSNS","Chinese",4
"40","SSNS","Mixed - White and Black Caribbean",3
"41","SSNS","Other Asian Background",9
"42","SSNS","Other Black Background",1
"43","SSNS","Other Ethnic Background",3
"44","SSNS","Other Mixed Background",2
"45","SSNS","Other White Background",3
"46","SSNS","White - British",177
"47","SSNS","White - Irish",1
