"","nurture_ethnicity","CFD","INS - Steroids NOT Tried","Partial SR","Primary Steroid Resistance","SRNS genetic","SRNS non-genetic","SSNS"
"1","Asian or Asian British - Pakistani",2,3,2,1,0,0,11
"2","Black Caribbean",1,2,1,1,0,0,8
"3","Other Asian Background",1,2,0,0,1,0,9
"4","White - British",13,37,15,20,9,10,177
"5","Asian or Asian British - Indian",0,2,0,3,1,0,11
"6","Black African",0,2,2,0,1,0,10
"7","Other Ethnic Background",0,1,1,1,0,0,3
"8","Other Mixed Background",0,1,0,0,0,0,2
"9","Other White Background",0,2,0,1,0,0,3
"10","Chinese",0,0,1,0,0,0,4
"11","Asian or Asian British - Bangladeshi",0,0,0,1,0,0,2
"12","Mixed - White and Black Caribbean",0,0,0,1,0,0,3
"13","Other Black Background",0,0,0,1,0,0,1
"14","White - Irish",0,0,0,0,0,0,1
